SeqName	Description
Gene_000695	sun domain-containing 2-like
Gene_000696	dead box atp-dependent rna
Gene_000697	phosphatase 1 regulatory subunit 7
Gene_000698	hypothetical protein pbra 001756
Gene_000699	reveille 6-like isoform x2
Gene_000700	gtp-binding yptc4
Gene_000701	myotubularin-related 2 isoform x1
Gene_000702	cobalamin biosynthesis
Gene_000703	nadh dehydrogenase (ubiquinone) complex assembly factor 6-like
Gene_000704	cystatin-b-like
Gene_000705	thioredoxin domain-containing 9
Gene_000706	hypothetical protein pbra 001764
Gene_000707	hypothetical protein pbra 001765
Gene_000709	hypothetical protein pbra 007894
Gene_000710	zinc transporter 2-like
Gene_000711	f-actin-capping subunit alpha-2-like
Gene_000712	ribonuclease z
Gene_000713	ras rab-6a
Gene_000714	ras-related rabh1e
Gene_000715	zinc finger ccch domain-containing 4-like isoform x1
Gene_000716	methylcrotonoyl-carboxylase
Gene_000718	mds1 and evi1 complex locus evi1
Gene_000719	3-phosphoshikimate 1-carboxyvinyltransferase
Gene_000720	dedicator of cytokinesis 1-like
Gene_000721	peptidase s10 family
Gene_000722	60s ribosomal l6
Gene_000723	hypothetical protein pbra 001778
Gene_000724	60s ribosomal l27
Gene_000725	voltage-gated ion channel superfamily
Gene_000726	coiled-coil domain-containing 79
Gene_000727	hypothetical protein pbra 001782
Gene_000728	methionine synthase
Gene_000729	[micromonas commoda]
Gene_000730	hypothetical protein pbra 008433
Gene_000731	hid1 isoform x3
Gene_000732	hypothetical protein pbra 001785
Gene_000733	fam188a isoform x2
Gene_000734	hypothetical protein pbra 001788
Gene_000735	hypothetical protein pbra 001789
Gene_000736	hypothetical protein pbra 001790
Gene_000737	hypothetical protein pbra 001791
Gene_000738	hypothetical protein pbra 001792
Gene_000739	hypothetical protein pbra 009676
Gene_000740	hypothetical protein pbra 001794
Gene_000741	5-amp-activated kinase subunit beta
Gene_000742	rubrerythrin
Gene_000743	metallophosphoesterase
Gene_000744	ubiquitin-conjugating enzyme e2 n
Gene_000745	amino-terminal domain
Gene_000746	hypothetical protein pbra 001799
Gene_000747	threonylcarbamoyladenosine trna methylthiotransferase
Gene_000748	major facilitator superfamily domain-containing
Gene_000750	zinc finger domain-containing
Gene_000751	emp24 gp25l p24 family
Gene_000752	hypothetical protein pbra 001803
Gene_000753	gamma-glutamylcyclotransferase
Gene_000754	[micromonas commoda]
Gene_000755	homeobox homothorax
Gene_000756	novel plant snare 11 isoform x1
Gene_000757	probable adp-ribosylation factor gtpase-activating agd6
Gene_000758	dna ligase 1-like isoform x2
Gene_000759	trna dihydrouridine(20 20a) synthase
Gene_000760	kinase 2
Gene_000762	hypothetical protein pbra 001813
Gene_000763	phosphate permease
Gene_000764	hypothetical protein pbra 000525
Gene_000765	hypothetical protein pbra 001815
Gene_000767	hypothetical protein pbra 009661
Gene_000768	hypothetical protein pbra 009681
Gene_000769	serine threonine kinase
Gene_000771	e3 ubiquitin-ligase
Gene_000772	hypothetical protein pbra 005102
Gene_000773	hypothetical protein pbra 005102
Gene_000776	c-binding-like isoform x1
Gene_000777	hypothetical protein pbra 005104
Gene_000778	cullin-associated nedd8-dissociated
Gene_000779	cullin-associated nedd8-dissociated 1-like
Gene_000780	cullin-associated nedd8-dissociated 1
Gene_000782	e2f-associated phospho
Gene_000784	g-patch domain-containing
Gene_000785	hypothetical protein pbra 005108
Gene_000787	ubiquitin e3 ligase icp0 [canid alphaherpesvirus 1]
Gene_000789	ubiquitin
Gene_000792	hypothetical protein pbra 005179; partial
Gene_000793	dna polymerase epsilon subunit 2
Gene_000795	uncharacterized membrane
Gene_000797	hypothetical protein pbra 005112
Gene_000798	hypothetical protein pbra 002491
Gene_000799	superoxide dismutase
Gene_000800	ccch zinc finger domain
Gene_000801	scar dicdi ame: full= scar ame: full=suppressor of camp receptor
Gene_000802	hypothetical protein pbra 005116
Gene_000803	hypothetical protein pbra 002883
Gene_000804	hypothetical protein pbra 005117
Gene_000805	v-type proton atpase subunit g1-like
Gene_000806	hypothetical protein pbra 007644
Gene_000808	sterile alpha motifdomain-containing
Gene_000809	hypothetical protein pbra 005120
Gene_000810	p-loop containing nucleoside triphosphate hydrolase
Gene_000812	hypothetical protein pbra 005122
Gene_000813	nitrogen permease regulator 3 isoform x3
Gene_000814	cytochrome b-245 heavy chain-like
Gene_000815	hypothetical protein pbra 005125
Gene_000817	hypothetical protein pbra 005126
Gene_000818	multi-sensor hybrid histidine kinase [nitrosospira lacus]
Gene_000819	cytochrome p450
Gene_000820	hypothetical protein pbra 005130
Gene_000821	hypothetical protein pbra 005131
Gene_000823	ribonucleoside-diphosphate reductase subunit alpha
Gene_000824	kynurenine 3-monooxygenase and related flavo monooxygenase
Gene_000825	acy1-like metalloprotease
Gene_000827	n-lysine methyltransferase mettl21a
Gene_000828	hypothetical protein pbra 005136
Gene_000829	hypothetical protein pbra 005137
Gene_000830	hypothetical protein pbra 005137
Gene_000831	[micromonas commoda]
Gene_000832	hypothetical protein pbra 005139
Gene_000833	hypothetical protein pbra 005139
Gene_000834	hypothetical protein pbra 005141
Gene_000835	heterogeneous nuclear ribonucleo a3 homolog 1-like
Gene_000836	transcription elongation factor b polypeptide 1
Gene_000837	interferon-related developmental regulator 1
Gene_000838	endoglucanase [algibacter aquaticus]
Gene_000840	thump domain-containing 1 homolog
Gene_000841	beta-adaptin b
Gene_000842	hydroxymethylglutaryl-degradative
Gene_000843	e3 ubiquitin-ligase sis3
Gene_000844	nucleic acid-ob-fold
Gene_000845	40s ribosomal s19-1
Gene_000846	related to exo1-exonuclease which interacts with msh2p
Gene_000847	hypothetical protein pbra 005764
Gene_000848	hypothetical protein bvrb 040230; partial
Gene_000850	leucine-rich repeat-containing
Gene_000851	ubiquitin ligase
Gene_000852	hypothetical protein pbra 005153
Gene_000853	hypothetical protein pbra 005153
Gene_000855	hypothetical protein pbra 005154
Gene_000856	serine threonine kinase
Gene_000857	lysosomal aspartic protease-like
Gene_000858	sys1 homolog
Gene_000859	ubiquitin b
Gene_000860	rrna biogenesis rrp5 isoform x1
Gene_000861	aaa family atpase
Gene_000862	glycosyl hydrolase family 26
Gene_000863	42 peptide
Gene_000864	bardet-biedl syndrome 4
Gene_000865	sporangia induced bardet-biedl syndrome 4
Gene_000866	peptidase m48
Gene_000867	mrna-capping enzyme
Gene_000868	mannose-1-phosphate guanyltransferase beta
Gene_000869	atp gtp-binding
Gene_000871	u4 u6 small nuclear ribonucleo prp3 isoform x3
Gene_000872	t-complex 11 1 isoform x5
Gene_000873	duf4833 domain-containing
Gene_000874	and ph domain containing
Gene_000875	acetylornithine deacetylase-like
Gene_000876	hypothetical protein pbra 005174
Gene_000877	hypothetical protein pbra 005175
Gene_000878	btb poz domain-containing kctd6
Gene_000879	thymus-specific serine protease
Gene_000880	fad-binding oxidoreductase
Gene_000881	hypothetical protein pbra 007539; partial
Gene_000882	cmgc family kinase
Gene_000883	26s proteasome non-atpase regulatory subunit
Gene_000884	glutathione s-transferase kappa 1 [rhodotorula toruloides np11]
Gene_000885	glycoside hydrolase
Gene_000886	coatomer subunit alpha-1
Gene_000887	serine threonine kinase
Gene_000888	peptidase inhibitor 16-like
Gene_000889	small gtpase
Gene_000890	leucine carboxyl methyltransferase
Gene_000892	rna polymerase iii transcription repressor maf1
Gene_000893	transmembrane 231
Gene_000896	thiamine transporter 2-like
Gene_000897	hypothetical protein pbra 005191
Gene_000898	u6 snrna-associated sm lsm6
Gene_000899	20s proteasome subunit beta type 1
Gene_000900	regulator of chromosome condensation (rcc1) family
Gene_000901	hypothetical protein pbra 005195
Gene_000902	hypothetical protein pbra 005195
Gene_000903	t-complex 1 subunit zeta
Gene_000904	nucleotide-diphospho-sugar transferase
Gene_000905	mitochondrial presequence translocase subunit tim50
Gene_000906	hypothetical protein pbra 005199
Gene_000908	peptidase m48
Gene_000909	26s proteasome regulatory subunit 7
Gene_000910	nad-dependent glycerol-3-phosphate dehydrogenase
Gene_000911	meckel syndrome type 1-like
Gene_000912	mitochondrial ribosomal l27
Gene_000913	hypothetical protein pbra 005205
Gene_000914	pentatricopeptide repeat-containing mitochondrial
Gene_000915	endothelial monocyte-activating polypeptide ii precursor pro-emap ii family
Gene_000916	hypothetical protein pbra 005209
Gene_000918	presequence mitochondrial
Gene_000919	kinesin kifc3 isoform x1
Gene_000922	hypothetical protein pbra 005212
Gene_000923	rab gtpase
Gene_000924	[skp1-]-hydroxyproline n-family gt60
Gene_000925	hypothetical protein pbra 005215
Gene_000928	tpr repeat-containing
Gene_000930	tld domain-containing 2 isoform x2
Gene_000931	dynein heavy chain axonemal isoform x1
Gene_000932	internalin-a precursor
Gene_000933	30s ribosomal s2
Gene_000934	hypothetical protein pbra 005220
Gene_000935	33 kda chloroplastic
Gene_000936	hypothetical protein pbra 005222
Gene_000937	histidine acid phosphatase family
Gene_000938	acyl-coenzyme a oxidase peroxisomal-like
Gene_000939	hypothetical protein pbra 005225
Gene_000940	rrna 2-o-methyltransferase fibrillarin
Gene_000941	hypothetical protein pbra 005227
Gene_000942	hypothetical protein pbra 005228
Gene_000943	sister chromatid cohesion
Gene_000944	sister chromatid cohesion dcc1
Gene_000945	dynein heavy chain
Gene_000946	dynein heavy chain axonemal-like
Gene_000950	methyltransferase 22
Gene_000951	hypothetical protein pbra 005232
Gene_000952	multiple epidermal growth factor-like domains 6
Gene_000956	set domain-containing
Gene_000957	60s ribosomal l12
Gene_000959	acetyl-c-acyltransferase
Gene_000960	aig2-like (avirulence induced gene) family
Gene_000961	dna helicase
Gene_000962	actin-related 10
Gene_000963	sap30-binding-like
Gene_000964	interferon-double-stranded rna-activated kinase isoform x1
Gene_000965	fimbrin (actin bundling )
Gene_000966	hypothetical protein pbra 005244
Gene_000969	exonuclease mut-7 homolog
Gene_000971	hypothetical protein pbra 005246
Gene_000972	26s proteasome non-atpase regulatory subunit 8
Gene_000973	general vesicular transport factor p115-like
Gene_000976	hypothetical protein pbra 005249
Gene_000977	bromodomain domain containing
Gene_000978	hypothetical protein pbra 005251
Gene_000979	tubulin alpha-3 chain
Gene_000980	hypothetical protein pbra 005253
Gene_000981	hypothetical protein pbra 005254
Gene_000982	dead-box atp-dependent rna helicase 29
Gene_000983	dolichyl-diphosphooligosaccharide-glycosyltransferase subunit 2-like
Gene_000984	dolichyl-diphosphooligosaccharide-glycosyltransferase subunit 2
Gene_000985	hypothetical protein pbra 002548
Gene_000986	hypothetical protein pbra 002547
Gene_000987	hypothetical protein pbra 002548
Gene_000989	hypothetical protein pbra 003245
Gene_000990	hypothetical protein pbra 005257
Gene_000991	hypothetical protein pbra 005258
Gene_000993	gastrula zinc finger-like
Gene_000995	hypothetical protein pbra 005257
Gene_000996	hypothetical protein pbra 000385
Gene_000997	hypothetical protein pbra 009178
Gene_000998	hypothetical protein pbra 002546
Gene_000999	hypothetical protein pbra 002547
Gene_001000	hypothetical protein pbra 002548
Gene_001001	hypothetical protein pbra 009649
Gene_001002	hypothetical protein pbra 002547
Gene_001003	hypothetical protein pbra 002549
Gene_001004	hypothetical protein pbra 002550
Gene_001005	hypothetical protein pbra 002551
Gene_001008	glutamate decarboxylase
Gene_001009	hypothetical protein pbra 002554
Gene_001010	fact complex subunit ssrp1-like
Gene_001011	hypothetical protein pbra 002556
Gene_001013	pre-mrna cleavage factor im 25 kda subunit 2
Gene_001014	pre-mrna cleavage factor im 25 kda subunit 1-like
Gene_001016	serine threonine-kinase atr
Gene_001017	60s ribosomal
Gene_001018	hypothetical protein pbra 002562
Gene_001019	hypothetical protein pbra 002560
Gene_001020	germinal center kinase 1
Gene_001021	fanconi anemia group d2
Gene_001022	phosphatidylglycerol phosphatidylinositol transfer
Gene_001023	histidine-trna ligase
Gene_001024	ddb1- and cul4-associated factor 15-like
Gene_001025	hypothetical protein pbra 002570
Gene_001026	26s proteasome subunit
Gene_001027	hypothetical protein pbra 002573
Gene_001028	tctex1 domain-containing 2
Gene_001029	exocyst complex component exo70a1-like
Gene_001030	retrovirus-related pol poly from transposon tnt 1-94
Gene_001031	upf0696 c11orf68
Gene_001032	signal peptide peptidase-like 3
Gene_001033	hypothetical protein pbra 002581
Gene_001034	e3 ubiquitin-ligase itchy-like
Gene_001035	polyunsaturated fatty acids delta-5-elongase
Gene_001036	gns1 sur4 family
Gene_001038	hypothetical protein pbra 002585
Gene_001039	related to betaine lipid synthase
Gene_001040	s-adenosyl-l-methionine-dependent methyltransferases
Gene_001041	hypothetical protein pbra 000496
Gene_001043	hypothetical protein pbra 002588
Gene_001044	set domain-containing
Gene_001045	probable nadh dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12
Gene_001046	hypothetical protein pbra 002591
Gene_001047	lmbr1-like conserved region-containing
Gene_001048	lmbr1-like conserved region-containing
Gene_001049	hypothetical protein pbra 002594
Gene_001050	ankyrin repeat-containing at5g02620
Gene_001051	wd40 repeat
Gene_001052	non-structural maintenance of chromosomes element 1 homolog
Gene_001053	trna (cytosine(34)-c(5))-methyltransferase-like
Gene_001054	npl4 family
Gene_001055	hypothetical protein pbra 002601
Gene_001056	hypothetical protein pbra 002602
Gene_001057	hypothetical protein pbra 002603
Gene_001058	hypothetical protein eag 04178; partial
Gene_001059	leucine rich repeat family
Gene_001060	zinc finger ccch domain-containing 69-like
Gene_001061	phosphatidylinositol 4-kinase type 2-beta
Gene_001062	v-type h+-transporting atpase 16kda proteolipid subunit
Gene_001063	hypothetical protein pbra 006552
Gene_001064	hypothetical protein pbra 002608
Gene_001065	serine threonine kinase containing tpr domain (plasmid)
Gene_001066	hypothetical protein pbra 002610
Gene_001067	hypothetical protein pbra 002611
Gene_001068	hypothetical protein pbra 002612
Gene_001069	3-5 exonuclease
Gene_001070	phd finger 21a isoform x3
Gene_001071	fmn-binding glutamate synthase family
Gene_001072	fmn-binding glutamate synthase family
Gene_001073	hypothetical protein pbra 002616
Gene_001074	hypothetical protein pbra 002616
Gene_001075	exosome component 4
Gene_001076	rhomboid family intramembrane serine protease
Gene_001077	hypothetical protein pbra 002619
Gene_001078	hypothetical protein pbra 002620
Gene_001079	hypothetical protein pbra 002621
Gene_001080	hypothetical protein pbra 002621
Gene_001081	atp-dependent rna helicase dbp2-a
Gene_001082	membrane magnesium transporter 1
Gene_001083	hypothetical protein pbra 002625
Gene_001085	proliferating cell nuclear antigen
Gene_001087	dihydropteridine reductase
